term_str,n,p,i,n_chars,max_pos,n_pos,stop,p_stem,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
crucial,35,6.0132766275620425e-06,17.343417241252162,7,JJ,2,0,crucial,0,0,0,0,0,0,1,0,0,1,1
greedy,35,6.0132766275620425e-06,17.343417241252162,6,NN,2,0,greedi,0,0,1,0,0,1,0,0,0,0,-1
fluctuation,35,6.0132766275620425e-06,17.343417241252162,11,NN,1,0,fluctuat,1,0,0,1,0,1,0,0,0,0,-1
restrict,35,6.0132766275620425e-06,17.343417241252162,8,VB,3,0,restrict,0,0,0,0,0,1,0,1,0,0,-1
outstanding,35,6.0132766275620425e-06,17.343417241252162,11,JJ,1,0,outstand,0,0,0,0,1,1,1,0,0,0,0
asserting,35,6.0132766275620425e-06,17.343417241252162,9,VBG,1,0,assert,0,0,0,0,0,0,1,0,0,1,1
exclusion,34,5.841468723917413e-06,17.38523741694679,9,NN,2,0,exclus,0,0,1,1,0,1,0,1,0,0,-1
expertise,34,5.841468723917413e-06,17.38523741694679,9,NN,2,0,expertis,0,0,0,0,0,0,1,0,0,1,1
clearance,34,5.841468723917413e-06,17.38523741694679,9,NN,1,0,clearanc,0,0,0,0,0,0,1,0,0,1,1
spine,34,5.841468723917413e-06,17.38523741694679,5,NN,2,0,spine,1,0,0,0,0,1,1,0,0,0,0
cancer,34,5.841468723917413e-06,17.38523741694679,6,NN,1,0,cancer,1,0,1,1,0,1,0,1,0,0,-1
erase,34,5.841468723917413e-06,17.38523741694679,5,NN,4,0,eras,0,0,0,1,0,1,0,0,0,0,-1
radioactive,34,5.841468723917413e-06,17.38523741694679,11,JJ,2,0,radioact,0,0,0,1,0,1,0,0,0,0,-1
feeling,34,5.841468723917413e-06,17.38523741694679,7,NN,2,0,feel,1,1,1,1,1,1,1,1,1,1,0
bear,33,5.669660820272783e-06,17.428306138838675,4,NN,5,0,bear,1,0,0,1,0,0,0,0,0,0,0
contaminated,33,5.669660820272783e-06,17.428306138838675,12,VBN,3,0,contamin,0,0,1,1,0,1,0,1,0,0,-1
instruct,33,5.669660820272783e-06,17.428306138838675,8,VB,3,0,instruct,0,0,0,0,0,0,1,0,0,1,1
degrade,33,5.669660820272783e-06,17.428306138838675,7,VB,3,0,degrad,0,0,1,0,0,1,0,0,0,0,-1
bait,33,5.669660820272783e-06,17.428306138838675,4,NN,2,0,bait,0,0,0,1,0,1,0,0,0,1,-1
shock,33,5.669660820272783e-06,17.428306138838675,5,NN,1,0,shock,1,0,0,1,0,1,0,0,1,0,-1
upset,32,5.497852916628153e-06,17.47270025819713,5,JJ,5,0,upset,1,0,0,0,0,1,0,1,0,0,-1
pollution,32,5.497852916628153e-06,17.47270025819713,9,NN,2,0,pollut,0,0,1,0,0,1,0,0,0,0,-1
death,32,5.497852916628153e-06,17.47270025819713,5,NN,1,0,death,1,1,1,1,0,1,0,1,1,0,-1
anomaly,31,5.3260450129835236e-06,17.518503947810252,7,NN,3,0,anomali,0,0,0,1,0,1,0,0,1,0,-1
avalanche,31,5.3260450129835236e-06,17.518503947810252,9,NN,3,0,avalanch,0,0,0,1,0,1,0,1,1,0,-1
birth,31,5.3260450129835236e-06,17.518503947810252,5,NN,4,0,birth,0,1,0,1,1,0,1,0,0,1,1
gun,31,5.3260450129835236e-06,17.518503947810252,3,NN,5,0,gun,1,0,0,1,0,1,0,0,0,0,-1
inefficient,31,5.3260450129835236e-06,17.518503947810252,11,JJ,2,0,ineffici,0,0,0,0,0,1,0,1,0,0,-1
subordinate,31,5.3260450129835236e-06,17.518503947810252,11,NN,3,0,subordin,0,0,0,1,0,1,0,0,0,0,-1
progression,31,5.3260450129835236e-06,17.518503947810252,11,NN,1,0,progress,0,1,0,0,1,0,1,1,0,1,1
mother,31,5.3260450129835236e-06,17.518503947810252,6,NN,4,0,mother,0,1,0,0,1,1,1,1,0,1,0
seal,31,5.3260450129835236e-06,17.518503947810252,4,NN,3,0,seal,0,0,0,0,0,0,1,0,0,1,1
income,31,5.3260450129835236e-06,17.518503947810252,6,NN,1,0,incom,0,1,0,0,1,1,1,1,0,1,0
respects,30,5.154237109338893e-06,17.56580966258861,8,NNS,2,0,respect,0,0,0,0,0,0,1,0,0,1,1
recognizable,30,5.154237109338893e-06,17.56580966258861,12,JJ,1,0,recogniz,0,1,0,0,0,0,1,0,0,0,1
discontinuity,30,5.154237109338893e-06,17.56580966258861,13,NN,1,0,discontinu,0,0,1,1,0,1,0,1,0,0,-1
confident,30,5.154237109338893e-06,17.56580966258861,9,JJ,2,0,confid,0,0,0,0,1,0,1,0,0,1,1
marrow,30,5.154237109338893e-06,17.56580966258861,6,NN,2,0,marrow,0,0,0,0,1,0,1,0,0,1,1
disruption,30,5.154237109338893e-06,17.56580966258861,10,NN,2,0,disrupt,1,0,0,1,0,1,0,0,1,0,-1
injury,30,5.154237109338893e-06,17.56580966258861,6,NN,1,0,injuri,1,0,0,1,0,1,0,1,0,0,-1
affirmatively,30,5.154237109338893e-06,17.56580966258861,13,RB,1,0,affirm,0,0,0,0,0,0,1,0,0,1,1
fancy,29,4.982429205694264e-06,17.614719263069556,5,JJ,2,0,fanci,0,1,0,0,1,0,1,0,0,0,1
helmet,29,4.982429205694264e-06,17.614719263069556,6,NN,4,0,helmet,0,0,0,1,0,0,1,0,0,0,1
concealed,29,4.982429205694264e-06,17.614719263069556,9,VBN,3,0,conceal,0,1,0,1,0,1,0,0,1,0,-1
reward,29,4.982429205694264e-06,17.614719263069556,6,NN,5,0,reward,0,1,0,0,1,0,1,0,1,1,1
recommend,29,4.982429205694264e-06,17.614719263069556,9,VB,3,0,recommend,0,0,0,0,0,0,1,0,0,1,1
flaw,29,4.982429205694264e-06,17.614719263069556,4,NN,2,0,flaw,0,0,0,0,0,1,0,1,0,0,-1
flying,29,4.982429205694264e-06,17.614719263069556,6,VBG,1,0,fli,0,0,0,1,0,0,1,0,0,0,1
displaced,29,4.982429205694264e-06,17.614719263069556,9,VBN,3,0,displac,1,0,0,1,0,0,0,1,0,0,0
winner,29,4.982429205694264e-06,17.614719263069556,6,NN,4,0,winner,0,1,0,0,1,0,1,0,1,0,1
labor,28,4.810621302049634e-06,17.665345336139524,5,NN,1,0,labor,0,1,0,0,1,0,1,0,1,1,1
perceive,28,4.810621302049634e-06,17.665345336139524,8,VB,3,0,perceiv,0,0,0,0,0,0,1,0,0,1,1
barrier,28,4.810621302049634e-06,17.665345336139524,7,NN,3,0,barrier,1,0,0,0,0,1,0,0,0,0,-1
quiet,28,4.810621302049634e-06,17.665345336139524,5,JJ,1,0,quiet,0,0,0,0,0,0,1,1,0,0,1
compliance,28,4.810621302049634e-06,17.665345336139524,10,NN,1,0,complianc,0,0,0,0,0,0,1,0,0,1,1
insignificant,28,4.810621302049634e-06,17.665345336139524,13,JJ,2,0,insignific,1,0,0,0,0,1,0,1,0,0,-1
reconstruct,27,4.638813398405004e-06,17.71781275603366,11,VB,3,0,reconstruct,0,1,0,0,0,0,1,0,0,0,1
attendant,27,4.638813398405004e-06,17.71781275603366,9,JJ,3,0,attend,0,0,0,0,0,0,1,0,0,1,1
suspicion,27,4.638813398405004e-06,17.71781275603366,9,NN,1,0,suspicion,0,0,0,1,0,1,0,0,0,0,-1
wear,27,4.638813398405004e-06,17.71781275603366,4,NN,5,0,wear,0,0,0,0,0,1,0,0,0,1,-1
destroyed,27,4.638813398405004e-06,17.71781275603366,9,VBN,2,0,destroy,1,0,0,1,0,1,0,1,0,0,-1
diverse,27,4.638813398405004e-06,17.71781275603366,7,JJ,2,0,divers,0,0,0,0,0,1,1,0,0,0,0
crash,27,4.638813398405004e-06,17.71781275603366,5,NN,3,0,crash,0,0,0,1,0,1,0,1,1,0,-1
sterile,27,4.638813398405004e-06,17.71781275603366,7,JJ,3,0,steril,0,0,0,0,0,1,0,1,0,0,-1
undecided,26,4.467005494760374e-06,17.77226054005604,9,JJ,4,0,undecid,0,1,0,1,0,1,0,0,0,0,-1
oracle,26,4.467005494760374e-06,17.77226054005604,6,NN,2,0,oracl,0,1,0,0,0,0,1,0,0,1,1
lesson,26,4.467005494760374e-06,17.77226054005604,6,NN,4,0,lesson,0,1,0,0,0,0,1,0,0,1,1
obese,26,4.467005494760374e-06,17.77226054005604,5,JJ,1,0,obes,0,0,1,0,0,1,0,0,0,0,-1
turbulent,26,4.467005494760374e-06,17.77226054005604,9,JJ,2,0,turbul,0,0,0,1,0,1,0,0,0,0,-1
neglected,26,4.467005494760374e-06,17.77226054005604,9,VBN,3,0,neglect,1,0,1,0,0,1,0,1,0,0,-1
engaging,26,4.467005494760374e-06,17.77226054005604,8,VBG,2,0,engag,0,0,0,0,1,0,1,0,0,1,1
blob,26,4.467005494760374e-06,17.77226054005604,4,NN,3,0,blob,0,0,1,1,0,1,0,0,0,0,-1
slut,26,4.467005494760374e-06,17.77226054005604,4,NN,4,0,slut,1,0,1,0,0,1,0,0,0,0,-1
excite,26,4.467005494760374e-06,17.77226054005604,6,VB,5,0,excit,1,1,0,1,1,0,1,0,1,0,1
stripped,26,4.467005494760374e-06,17.77226054005604,8,VBN,3,0,strip,1,1,1,1,0,1,0,1,0,0,-1
abundance,26,4.467005494760374e-06,17.77226054005604,9,NN,2,0,abund,0,1,1,0,1,1,1,0,0,1,0
react,25,4.295197591115745e-06,17.828844068422406,5,VB,3,0,react,1,0,0,1,0,0,0,0,0,0,0
worse,25,4.295197591115745e-06,17.828844068422406,5,JJR,2,0,wors,0,0,0,1,0,1,0,1,0,0,-1
failing,25,4.295197591115745e-06,17.828844068422406,7,VBG,2,0,fail,1,1,0,1,0,1,0,1,0,0,-1
surgery,25,4.295197591115745e-06,17.828844068422406,7,NN,2,0,surgeri,0,0,0,1,0,0,0,1,0,0,0
exciting,25,4.295197591115745e-06,17.828844068422406,8,VBG,3,0,excit,0,1,0,0,1,0,1,0,1,0,1
jerk,25,4.295197591115745e-06,17.828844068422406,4,NN,2,0,jerk,1,0,0,0,0,0,0,0,1,0,0
watch,25,4.295197591115745e-06,17.828844068422406,5,VB,3,0,watch,0,1,0,1,0,0,0,0,0,0,0
pivot,25,4.295197591115745e-06,17.828844068422406,5,NN,3,0,pivot,0,0,0,0,0,0,1,0,0,1,1
owing,24,4.123389687471114e-06,17.88773775747597,5,VBG,2,0,owe,1,1,1,1,0,1,0,1,0,1,-1
illusion,24,4.123389687471114e-06,17.88773775747597,8,NN,1,0,illus,0,0,0,0,0,1,0,0,1,0,-1
depart,24,4.123389687471114e-06,17.88773775747597,6,VB,4,0,depart,0,1,0,0,0,0,0,1,0,0,0
weigh,24,4.123389687471114e-06,17.88773775747597,5,JJ,4,0,weigh,0,1,0,0,0,0,0,0,0,1,0
threat,24,4.123389687471114e-06,17.88773775747597,6,NN,1,0,threat,1,0,0,1,0,1,0,0,0,0,-1
authority,24,4.123389687471114e-06,17.88773775747597,9,NN,1,0,author,0,0,0,0,0,0,1,0,0,1,1
confined,24,4.123389687471114e-06,17.88773775747597,8,VBN,3,0,confin,1,0,1,1,0,1,0,1,0,0,-1
enemy,23,3.951581783826485e-06,17.949138302140117,5,NN,2,0,enemi,1,0,1,1,0,1,0,0,0,0,-1
puma,23,3.951581783826485e-06,17.949138302140117,4,NN,3,0,puma,0,0,0,1,0,0,0,0,1,0,0
explosive,23,3.951581783826485e-06,17.949138302140117,9,JJ,2,0,explos,1,1,0,1,0,1,0,0,1,0,-1
prefer,23,3.951581783826485e-06,17.949138302140117,6,VBP,2,0,prefer,0,0,0,0,0,0,1,0,0,1,1
fuse,23,3.951581783826485e-06,17.949138302140117,4,NN,3,0,fuse,0,0,0,0,0,0,1,0,0,1,1
intense,22,3.7797738801818553e-06,18.013268639559833,7,JJ,1,0,intens,1,0,1,1,1,1,1,0,1,1,0
inheritance,22,3.7797738801818553e-06,18.013268639559833,11,NN,1,0,inherit,0,1,0,0,1,0,1,0,1,1,1
fell,22,3.7797738801818553e-06,18.013268639559833,4,VBD,1,0,fell,0,0,0,0,0,1,0,1,0,0,-1
invocation,22,3.7797738801818553e-06,18.013268639559833,10,NN,1,0,invoc,0,1,0,0,0,0,0,0,0,1,0
slug,22,3.7797738801818553e-06,18.013268639559833,4,NN,4,0,slug,0,0,1,0,0,1,0,0,0,0,-1
suspect,21,3.6079659765372254e-06,18.08038283541837,7,JJ,3,0,suspect,0,0,0,1,0,1,0,0,0,0,-1
grounded,21,3.6079659765372254e-06,18.08038283541837,8,VBN,3,0,ground,0,0,0,1,0,1,0,1,0,0,-1
dominate,21,3.6079659765372254e-06,18.08038283541837,8,VB,3,0,domin,1,0,0,1,0,1,1,0,0,0,0
destructive,21,3.6079659765372254e-06,18.08038283541837,11,JJ,1,0,destruct,1,0,1,1,0,1,0,0,0,0,-1
doctor,21,3.6079659765372254e-06,18.08038283541837,6,NN,1,0,doctor,0,0,0,0,0,0,1,0,0,1,1
abandon,21,3.6079659765372254e-06,18.08038283541837,7,JJ,5,0,abandon,0,0,0,1,0,1,0,1,0,0,-1
cooperating,21,3.6079659765372254e-06,18.08038283541837,11,VBG,2,0,cooper,0,0,0,0,0,0,1,0,0,1,1
worn,21,3.6079659765372254e-06,18.08038283541837,4,VBN,2,0,worn,0,0,0,0,0,1,0,1,0,0,-1
alive,21,3.6079659765372254e-06,18.08038283541837,5,JJ,1,0,aliv,0,1,0,0,1,0,1,0,0,1,1
pound,20,3.4361580728925955e-06,18.150772163309767,5,NN,1,0,pound,1,0,0,0,0,1,0,0,0,0,-1
arsenic,20,3.4361580728925955e-06,18.150772163309767,7,JJ,2,0,arsen,0,0,1,1,0,1,0,1,0,0,-1
unconstrained,20,3.4361580728925955e-06,18.150772163309767,13,JJ,3,0,unconstrain,0,0,0,0,1,0,1,0,0,0,1
damages,20,3.4361580728925955e-06,18.150772163309767,7,NNS,1,0,damag,0,0,0,0,0,1,0,1,0,0,-1
cash,20,3.4361580728925955e-06,18.150772163309767,4,NN,1,0,cash,1,1,0,1,1,0,1,0,0,1,1
agitation,20,3.4361580728925955e-06,18.150772163309767,9,NN,1,0,agit,1,0,0,0,0,1,0,0,0,0,-1
iron,20,3.4361580728925955e-06,18.150772163309767,4,NN,1,0,iron,0,0,0,0,0,0,1,0,0,1,1
inadequate,20,3.4361580728925955e-06,18.150772163309767,10,JJ,3,0,inadequ,0,0,0,0,0,1,0,1,0,0,-1
panic,20,3.4361580728925955e-06,18.150772163309767,5,JJ,2,0,panic,0,0,0,1,0,1,0,0,0,0,-1
termite,20,3.4361580728925955e-06,18.150772163309767,7,JJ,2,0,termit,0,0,1,0,0,1,0,0,0,0,-1
instability,20,3.4361580728925955e-06,18.150772163309767,11,NN,1,0,instabl,0,0,1,1,0,1,0,0,0,0,-1
inability,19,3.264350169247966e-06,18.224772744753544,9,NN,1,0,inabl,0,0,0,0,0,1,0,1,0,0,-1
fate,19,3.264350169247966e-06,18.224772744753544,4,NN,1,0,fate,0,1,0,0,0,1,0,0,0,0,-1
collusion,19,3.264350169247966e-06,18.224772744753544,9,NN,1,0,collus,1,0,1,1,0,1,0,1,0,0,-1
reporter,19,3.264350169247966e-06,18.224772744753544,8,NN,4,0,report,0,0,0,0,0,0,1,0,0,1,1
cooperative,19,3.264350169247966e-06,18.224772744753544,11,JJ,2,0,cooper,0,0,0,0,0,0,1,0,0,1,1
rational,19,3.264350169247966e-06,18.224772744753544,8,JJ,2,0,ration,0,0,0,0,0,0,1,0,0,1,1
explosion,19,3.264350169247966e-06,18.224772744753544,9,NN,1,0,explos,0,0,0,1,0,1,0,0,1,0,-1
surprise,19,3.264350169247966e-06,18.224772744753544,8,NN,2,0,surpris,0,0,0,1,1,0,1,0,1,0,1
rejects,18,3.092542265603336e-06,18.302775256754817,7,VBZ,3,0,reject,1,0,0,1,0,1,0,1,0,0,-1
undesired,18,3.092542265603336e-06,18.302775256754817,9,JJ,1,0,undesir,0,0,0,0,0,1,0,1,0,0,-1
suffering,18,3.092542265603336e-06,18.302775256754817,9,VBG,2,0,suffer,0,0,1,1,0,1,0,1,0,0,-1
unnatural,18,3.092542265603336e-06,18.302775256754817,9,JJ,1,0,unnatur,0,0,1,1,0,1,0,0,0,0,-1
expedition,18,3.092542265603336e-06,18.302775256754817,10,NN,1,0,expedit,0,1,0,0,0,0,1,0,0,0,1
animated,18,3.092542265603336e-06,18.302775256754817,8,VBN,3,0,anim,0,0,0,0,1,0,1,0,0,0,1
government,18,3.092542265603336e-06,18.302775256754817,10,NN,1,0,govern,0,0,0,1,0,1,0,0,0,0,-1
wasted,18,3.092542265603336e-06,18.302775256754817,6,VBN,2,0,wast,1,0,1,0,0,1,0,0,0,0,-1
prevention,18,3.092542265603336e-06,18.302775256754817,10,NN,1,0,prevent,0,1,0,0,0,0,1,0,0,0,1
ringer,18,3.092542265603336e-06,18.302775256754817,6,NN,2,0,ringer,1,0,0,0,0,1,0,0,0,0,-1
entertaining,18,3.092542265603336e-06,18.302775256754817,12,VBG,3,0,entertain,0,1,0,0,1,0,1,0,0,0,1
friendly,18,3.092542265603336e-06,18.302775256754817,8,JJ,2,0,friendli,0,1,0,0,1,0,1,0,0,1,1
unpublished,17,2.9207343619587065e-06,18.38523741694679,11,JJ,3,0,unpublish,0,1,0,0,0,1,0,1,0,0,-1
enforce,17,2.9207343619587065e-06,18.38523741694679,7,VB,3,0,enforc,1,0,0,1,0,1,1,0,0,0,0
malignant,17,2.9207343619587065e-06,18.38523741694679,9,JJ,2,0,malign,1,0,0,1,0,1,0,0,0,0,-1
darkness,17,2.9207343619587065e-06,18.38523741694679,8,NN,2,0,dark,1,0,0,1,0,1,0,1,0,0,-1
unequal,17,2.9207343619587065e-06,18.38523741694679,7,JJ,1,0,unequ,1,0,1,1,0,1,0,1,0,0,-1
hazardous,17,2.9207343619587065e-06,18.38523741694679,9,JJ,1,0,hazard,0,0,0,1,0,1,0,0,0,0,-1
prognosis,17,2.9207343619587065e-06,18.38523741694679,9,NN,1,0,prognosi,0,1,0,1,0,0,0,0,0,0,0
unpredictable,17,2.9207343619587065e-06,18.38523741694679,13,JJ,1,0,unpredict,0,0,0,0,0,1,0,0,1,0,-1
expose,17,2.9207343619587065e-06,18.38523741694679,6,VB,1,0,expos,0,1,0,1,0,0,0,0,0,0,0
lose,17,2.9207343619587065e-06,18.38523741694679,4,VB,3,0,lose,1,0,1,1,0,1,0,1,1,0,-1
brute,16,2.7489264583140765e-06,18.47270025819713,5,JJ,3,0,brute,1,0,0,1,0,1,0,1,0,0,-1
chronic,16,2.7489264583140765e-06,18.47270025819713,7,JJ,1,0,chronic,0,0,0,0,0,1,0,1,0,0,-1
guard,16,2.7489264583140765e-06,18.47270025819713,5,NN,3,0,guard,0,0,0,1,0,0,1,0,0,1,1
relapse,16,2.7489264583140765e-06,18.47270025819713,7,NN,2,0,relaps,0,0,0,1,0,1,0,1,0,0,-1
deteriorated,16,2.7489264583140765e-06,18.47270025819713,12,VBN,2,0,deterior,0,0,1,0,0,1,0,1,0,0,-1
tax,16,2.7489264583140765e-06,18.47270025819713,3,NN,1,0,tax,0,0,0,0,0,1,0,1,0,0,-1
inappropriate,16,2.7489264583140765e-06,18.47270025819713,13,JJ,1,0,inappropri,1,0,1,0,0,1,0,1,0,0,-1
adverse,16,2.7489264583140765e-06,18.47270025819713,7,JJ,2,0,advers,1,0,1,1,0,1,0,1,0,0,-1
denied,16,2.7489264583140765e-06,18.47270025819713,6,VBN,2,0,deni,0,0,0,0,0,1,0,1,0,0,-1
unsuccessful,16,2.7489264583140765e-06,18.47270025819713,12,JJ,1,0,unsuccess,0,0,0,0,0,1,0,1,0,0,-1
regularity,16,2.7489264583140765e-06,18.47270025819713,10,NN,1,0,regular,0,1,0,0,0,0,1,0,0,1,1
reconciliation,16,2.7489264583140765e-06,18.47270025819713,14,NN,1,0,reconcili,0,1,0,0,1,0,1,0,0,1,1
professional,16,2.7489264583140765e-06,18.47270025819713,12,JJ,2,0,profession,0,0,0,0,0,0,1,0,0,1,1
dangerous,16,2.7489264583140765e-06,18.47270025819713,9,JJ,1,0,danger,0,0,0,1,0,1,0,0,0,0,-1
constrain,16,2.7489264583140765e-06,18.47270025819713,9,VB,2,0,constrain,0,0,0,1,0,1,0,0,0,0,-1
remarkable,16,2.7489264583140765e-06,18.47270025819713,10,JJ,1,0,remark,0,0,0,0,1,0,1,0,1,1,1
obey,16,2.7489264583140765e-06,18.47270025819713,4,VBP,5,0,obey,0,0,0,1,0,0,0,0,0,1,0
remedy,16,2.7489264583140765e-06,18.47270025819713,6,NN,2,0,remedi,0,1,0,0,1,0,1,0,0,1,1
grating,16,2.7489264583140765e-06,18.47270025819713,7,NN,2,0,grate,1,0,1,0,0,1,0,0,0,0,-1
proficiency,16,2.7489264583140765e-06,18.47270025819713,11,NN,2,0,profici,0,1,0,0,1,0,1,0,1,1,1
calf,16,2.7489264583140765e-06,18.47270025819713,4,NN,3,0,calf,0,0,0,0,1,0,1,0,0,1,1
unsatisfactory,16,2.7489264583140765e-06,18.47270025819713,14,JJ,1,0,unsatisfactori,0,0,1,0,0,1,0,0,0,0,-1
cradle,16,2.7489264583140765e-06,18.47270025819713,6,NN,3,0,cradl,0,1,0,0,1,0,1,0,0,1,1
thresh,15,2.5771185546694466e-06,18.56580966258861,6,NN,4,0,thresh,1,0,0,1,0,1,0,1,0,0,-1
familiarity,15,2.5771185546694466e-06,18.56580966258861,11,NN,1,0,familiar,0,1,0,0,1,0,1,0,0,1,1
cheat,15,2.5771185546694466e-06,18.56580966258861,5,VB,3,0,cheat,1,0,1,0,0,1,0,0,0,0,-1
standstill,15,2.5771185546694466e-06,18.56580966258861,10,NN,2,0,standstil,1,0,0,0,0,1,0,0,0,0,-1
mediator,15,2.5771185546694466e-06,18.56580966258861,8,NN,2,0,mediat,0,1,0,0,0,0,1,0,0,1,1
maternal,15,2.5771185546694466e-06,18.56580966258861,8,JJ,2,0,matern,0,1,0,0,0,1,1,0,0,0,0
attorney,15,2.5771185546694466e-06,18.56580966258861,8,NN,1,0,attorney,1,0,0,1,0,0,1,0,0,1,1
skewed,15,2.5771185546694466e-06,18.56580966258861,6,JJ,4,0,skew,1,1,0,0,0,1,0,0,0,0,-1
predominant,15,2.5771185546694466e-06,18.56580966258861,11,JJ,2,0,predomin,0,0,0,0,0,0,1,0,0,1,1
fee,15,2.5771185546694466e-06,18.56580966258861,3,NN,1,0,fee,1,0,0,0,0,1,0,0,0,0,-1
bang,15,2.5771185546694466e-06,18.56580966258861,4,NN,2,0,bang,1,0,1,1,0,1,0,1,1,0,-1
sympathetic,14,2.405310651024817e-06,18.665345336139524,11,JJ,1,0,sympathet,0,0,0,1,1,0,1,1,0,1,1
disregarded,14,2.405310651024817e-06,18.665345336139524,11,VBN,2,0,disregard,0,0,1,0,0,1,0,0,0,0,-1
daughter,14,2.405310651024817e-06,18.665345336139524,8,NN,2,0,daughter,0,0,0,0,1,0,1,0,0,0,1
unfavorable,14,2.405310651024817e-06,18.665345336139524,11,JJ,1,0,unfavor,0,0,1,0,0,1,0,1,0,0,-1
turbulence,14,2.405310651024817e-06,18.665345336139524,10,NN,1,0,turbul,1,0,0,1,0,1,0,0,0,0,-1
questionable,14,2.405310651024817e-06,18.665345336139524,12,JJ,1,0,question,0,0,1,0,0,1,0,0,0,0,-1
ominous,14,2.405310651024817e-06,18.665345336139524,7,JJ,1,0,omin,0,1,0,1,0,1,0,0,0,0,-1
faculty,14,2.405310651024817e-06,18.665345336139524,7,NN,1,0,faculti,0,0,0,0,0,0,1,0,0,1,1
surprisingly,14,2.405310651024817e-06,18.665345336139524,12,RB,1,0,surprisingli,0,1,0,0,0,0,0,0,1,0,0
hydra,14,2.405310651024817e-06,18.665345336139524,5,NN,4,0,hydra,0,0,0,1,0,1,0,0,0,0,-1
toxic,14,2.405310651024817e-06,18.665345336139524,5,JJ,3,0,toxic,0,0,1,0,0,1,0,0,0,0,-1
germ,14,2.405310651024817e-06,18.665345336139524,4,JJ,3,0,germ,0,1,1,0,0,0,0,0,0,0,0
warranty,14,2.405310651024817e-06,18.665345336139524,8,NN,1,0,warranti,0,0,0,0,0,0,1,0,0,1,1
shooting,14,2.405310651024817e-06,18.665345336139524,8,NN,2,0,shoot,1,0,0,1,0,1,0,0,0,0,-1
hazard,14,2.405310651024817e-06,18.665345336139524,6,NN,2,0,hazard,0,0,0,1,0,1,0,0,0,0,-1
salary,14,2.405310651024817e-06,18.665345336139524,6,JJ,4,0,salari,0,1,0,0,1,0,1,0,0,1,1
degrading,14,2.405310651024817e-06,18.665345336139524,9,VBG,2,0,degrad,0,0,1,1,0,1,0,1,0,0,-1
herpes,14,2.405310651024817e-06,18.665345336139524,6,NNS,1,0,herp,0,0,1,0,0,1,0,0,0,0,-1
quote,14,2.405310651024817e-06,18.665345336139524,5,NN,1,0,quot,0,1,0,0,0,1,1,0,1,0,0
changeable,14,2.405310651024817e-06,18.665345336139524,10,JJ,1,0,changeabl,0,1,0,0,0,0,0,0,1,0,0
obtainable,14,2.405310651024817e-06,18.665345336139524,10,JJ,2,0,obtain,0,0,0,0,1,0,1,0,0,0,1
doubt,14,2.405310651024817e-06,18.665345336139524,5,NN,1,0,doubt,0,0,0,1,0,1,0,1,0,1,-1
checklist,13,2.233502747380187e-06,18.77226054005604,9,NN,3,0,checklist,0,0,0,0,0,0,1,0,0,1,1
ensemble,13,2.233502747380187e-06,18.77226054005604,8,JJ,2,0,ensembl,0,0,0,0,0,0,1,0,0,1,1
advisable,13,2.233502747380187e-06,18.77226054005604,9,JJ,1,0,advis,0,0,0,0,0,0,1,0,0,1,1
kick,13,2.233502747380187e-06,18.77226054005604,4,NN,3,0,kick,1,0,0,0,0,1,0,0,0,0,-1
intuition,13,2.233502747380187e-06,18.77226054005604,9,NN,2,0,intuit,0,0,0,0,0,0,1,0,0,1,1
spite,13,2.233502747380187e-06,18.77226054005604,5,NN,1,0,spite,1,0,0,0,0,1,0,0,0,0,-1
genuine,13,2.233502747380187e-06,18.77226054005604,7,JJ,1,0,genuin,0,0,0,0,0,0,1,0,0,1,1
mediate,13,2.233502747380187e-06,18.77226054005604,7,VB,3,0,mediat,0,1,0,0,0,0,1,0,0,1,1
kill,13,2.233502747380187e-06,18.77226054005604,4,NN,3,0,kill,0,0,0,1,0,1,0,1,0,0,-1
liberation,13,2.233502747380187e-06,18.77226054005604,10,NN,1,0,liber,0,1,0,0,1,0,1,0,1,0,1
entertainment,13,2.233502747380187e-06,18.77226054005604,13,NN,1,0,entertain,0,1,0,0,1,0,1,0,1,1,1
achievement,13,2.233502747380187e-06,18.77226054005604,11,NN,1,0,achiev,0,1,0,0,1,0,1,0,0,1,1
penetration,13,2.233502747380187e-06,18.77226054005604,11,NN,2,0,penetr,1,0,0,1,0,1,0,0,0,0,-1
mire,13,2.233502747380187e-06,18.77226054005604,4,NN,2,0,mire,0,0,1,0,0,1,0,0,0,0,-1
depress,13,2.233502747380187e-06,18.77226054005604,7,VB,3,0,depress,0,0,0,1,0,1,0,1,0,0,-1
mate,13,2.233502747380187e-06,18.77226054005604,4,NN,4,0,mate,0,0,0,0,0,0,1,0,0,1,1
forgotten,13,2.233502747380187e-06,18.77226054005604,9,VBN,4,0,forgotten,0,0,0,1,0,1,0,1,0,0,-1
hospital,13,2.233502747380187e-06,18.77226054005604,8,NN,2,0,hospit,0,0,0,1,0,0,0,1,0,1,0
possessed,13,2.233502747380187e-06,18.77226054005604,9,VBN,2,0,possess,1,0,1,1,0,1,0,0,0,0,-1
mug,12,2.061694843735557e-06,18.88773775747597,3,NN,1,0,mug,1,0,0,1,0,1,1,1,0,0,0
wound,12,2.061694843735557e-06,18.88773775747597,5,VBN,6,0,wound,1,0,0,1,0,1,0,1,0,0,-1
